active_power,poa_global,cos_aoi,dni,dhi,temperature,wind_speed
0.0,0.0,0.0,0.0,0.0,18.013,1.6278821
0.0,0.0,0.0,0.0,0.0,17.463001,1.0
0.0,0.0,0.0,0.0,0.0,16.563002,0.9433981
0.0,0.0,0.0,0.0,0.0,15.513,1.2041595
0.0,0.0,0.0,0.0,0.0,14.513,0.9055385
0.0,0.0,0.0,0.0,0.0,13.863,0.6708204
0.0,0.0,0.0,0.0,0.0,13.613,0.89442724
0.0,0.0,0.0,0.0,0.0,14.713,1.0
0.0,0.0,0.0,0.0,0.0,13.813,1.0
0.0,0.0,0.0,0.0,0.0,12.863,1.0198039
0.0,0.0,0.0,0.0,0.0,13.613,0.36055514
12.425,3.558071381265883,0.15694754186968957,0.0,3.6404,14.663,0.44721362
283.992,254.59174329028934,0.38148050643048886,493.17853,67.338844,15.463,0.3
501.643,548.8674924571148,0.5750280640777151,795.0982,91.90097,18.563002,0.22360681
660.5390000000001,724.9294457486436,0.7244007073758753,863.7334,98.514786,20.963001,0.44721362
741.758,819.4029987565335,0.8194206324759971,872.2442,103.335,22.763,0.8062258
759.659,837.5022327242376,0.853615292707822,860.0252,101.69271,23.813002,1.6124516
720.4279999999999,777.0906850035511,0.8246582636277735,821.1673,98.31592,23.963001,2.4
620.4939999999999,644.9828292574866,0.7345273576423138,755.44556,88.87309,23.813002,2.3086793
484.91,459.1267608090351,0.5893692009771085,648.06775,76.63037,23.663,1.3416408
144.882,240.82793833479312,0.3990795724722065,465.93823,54.98794,22.413,0.9055385
15.759,36.38105056247655,0.1766282273018259,119.24662,15.518133,19.863,0.92195445
0.0,0.0,0.0,0.0,0.0,17.913,2.2825425
0.0,0.0,0.0,0.0,0.0,16.663,2.118962
0.0,0.0,0.0,0.0,0.0,16.513,1.868154
0.0,0.0,0.0,0.0,0.0,16.013,1.5231546
0.0,0.0,0.0,0.0,0.0,15.063,1.118034
0.0,0.0,0.0,0.0,0.0,14.013,1.8
0.0,0.0,0.0,0.0,0.0,13.263,1.421267
0.0,0.0,0.0,0.0,0.0,12.663,1.0630146
0.0,0.0,0.0,0.0,0.0,12.313,1.2041595
0.0,0.0,0.0,0.0,0.0,13.363,1.2083046
0.0,0.0,0.0,0.0,0.0,12.613,1.3601471
0.0,0.0,0.0,0.0,0.0,12.963,1.4142135
0.0,0.0,0.0,0.0,0.0,14.263,1.3453624
4.475,3.9334027568147785,0.15509306509870405,0.0,4.024416,13.813,1.2041595
345.722,246.43412698192267,0.37930939949560266,477.1401,66.33205,14.313,0.60827625
505.495,542.9246732634084,0.572601281259588,789.95245,90.844185,17.813002,0.31622776
658.2400000000001,723.2185975777631,0.7217969613352014,864.395,98.60034,20.063002,1.5033296
815.0010000000002,815.1334494443266,0.816730973492469,867.34784,105.50639,21.463001,2.7892652
779.523,829.7292710612126,0.8509368314366444,852.48663,102.72227,21.763,3.6055512
739.643,750.4462168795817,0.8220874704638608,770.819,115.82639,21.663,3.8626416
544.2669999999999,582.2798776080692,0.7321534014537054,608.9386,136.95964,21.413,3.8999999
205.73,357.41782431947183,0.5872677876456728,358.81943,148.80861,21.013,3.8078864
256.312,180.49180344558295,0.3973077093037624,219.69395,94.819565,20.063002,3.3286633
15.245,32.30750196316893,0.17522027559581047,92.72793,16.310726,18.463001,1.9235384
0.0,0.0,0.0,0.0,0.0,16.513,1.1401755
0.0,0.0,0.0,0.0,0.0,15.662999,0.8062258
0.0,0.0,0.0,0.0,0.0,14.913,0.86023253
0.0,0.0,0.0,0.0,0.0,14.013,0.6708204
0.0,0.0,0.0,0.0,0.0,13.513,0.6
0.0,0.0,0.0,0.0,0.0,13.513,1.118034
0.0,0.0,0.0,0.0,0.0,12.963,1.6155494
0.0,0.0,0.0,0.0,0.0,12.813,1.3892444
0.0,0.0,0.0,0.0,0.0,12.913,1.4764823
0.0,0.0,0.0,0.0,0.0,13.313,1.9235384
0.0,0.0,0.0,0.0,0.0,13.163,1.7492856
0.0,0.0,0.0,0.0,0.0,12.713,1.3000001
0.0,0.0,0.0,0.0,0.0,11.963,1.0198039
8.91,4.532147959955508,0.15320494672059418,0.0,4.6370153,11.763,0.60827625
