collect_time,active_power,irradiance,poa_global,cos_aoi,dni,dhi,temperature,cos_time
2023-11-02 01:40:00,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.9063077870366499
2023-11-02 01:45:00,0.0,0.0,0.0,0.0,0.0,0.0,17.8,0.8968727415326883
2023-11-02 01:50:00,0.0,0.4,0.0,0.0,0.0,0.4000000059604645,17.8,0.8870108331782217
2023-11-02 01:55:00,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.8767267557075077
2023-11-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.8660254037844387
2023-11-02 02:05:00,0.0,0.0,0.0,0.0,0.0,0.0,17.9,0.8549118706729466
2023-11-02 02:10:00,0.0,0.0,0.0,0.0,0.0,0.0,17.7,0.8433914458128857
2023-11-02 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,17.7,0.8314696123025452
2023-11-02 02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,17.7,0.8191520442889918
2023-11-02 02:25:00,0.0,0.0,0.0,0.0,0.0,0.0,17.8,0.8064446042674827
2023-11-02 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,17.9,0.7933533402912352
2023-11-02 02:35:00,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.7798844830928818
2023-11-02 02:40:00,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.766044443118978
2023-11-02 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.7518398074789774
2023-11-02 02:50:00,0.0,0.0,0.0,0.0,0.0,0.0,17.2,0.737277336810124
2023-11-02 02:55:00,0.0,0.0,0.0,0.0,0.0,0.0,17.7,0.7223639620597556
2023-11-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,17.9,0.7071067811865476
2023-11-02 03:05:00,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.6915130557822694
2023-11-02 03:10:00,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.6755902076156602
2023-11-02 03:15:00,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.659345815100069
